Word	Type	Frequency
打斷	X-VC	1
期間	C-Na	18
活動	C-Na	5
花	X-VC	8
回家	C-VA	12
奔波	C-VA	1
梅利強森	C-Nb	1
子女	C-Na	2
扶養權	C-Na	16
以下	X-Ncd	5
陪伴	X-VC	2
成長	C-VH	11
真是	F-D	1
所謂	X-VK	1
帶給	C-VD	4
左右	X-Ng	9
更	F-D	34
為止	X-Ng	13
認同	X-VJ	1
必須	F-D	108
重申	X-VE	1
她們	X-Nh	7
母女倆	C-Na	2
互相	F-D	13
見面	C-VA	35
不時	F-D	3
邀請	X-VC	5
方式	C-Na	92
欸	X-I	11
混亂	C-VH	8
為什麼	F-D	76
見	X-VE	12
德林西路	C-Nc	2
第	X-Neu	2
分	X-Nf	10
臨時工	C-Na	1
大約	X-Da	13
台幣	C-Na	7
確信	X-VK	1
權力	C-Na	13
程序	C-Na	2
時常	F-D	7
出遊	C-VA	6
帶去	X-VC	8
基本	C-Na	17
贊同	X-VJ	3
決議	C-Na	1
換來換去	C-VA	2
搞混	X-VC	1
斐瑞強森	C-Nb	1
德興東路	C-Nc	2
四樓之三	C-Nc	1
聽到	X-VE	9
消息	C-Na	7
能否	F-D	1
保持	X-VJ	1
金錢	C-Na	3
來源	C-Na	2
總計	X-Da	2
企劃	C-Na	1
說不定	F-D	1
已	F-D	4
四五	X-Neu	4
權	C-Na	2
即便	F-Cbb	2
母女	C-Na	3
訴訟	X-Nv	7
常	F-D	7
圖片	C-Na	1
病	C-Na	3
建議	X-VE	4
轉換	X-VC	3
兒童	C-Na	1
困擾	C-VHC	3
維力	C-Nb	1
義行	C-Na	1
德行	C-Na	1
東路	C-Nc	1
請求	X-VF	9
基於	F-P	1
另	X-Nes	9
男子	C-Na	1
就此	F-D	1
要求	X-VF	75
工	C-Na	2
總收入	C-Na	2
至今	F-D	2
尤其	F-D	8
雙親	C-Na	4
儘管	F-Cbb	4
拆散	X-VC	1
年長	C-VH	1
帶過去	X-VB	2
贊成	X-VK	2
來來去去	C-VA	1
探視	X-VC	4
羅立強森	C-Nb	1
德行路	C-Nc	3
三段	C-Nc	1
4樓	X	10
理由	C-Na	12
提供給	C-VD	4
確實	F-D	18
全值	C-VH	1
間	X-Nf	37
支付	C-VD	11
加總	C-Na	1
方	X-Ncd	2
澄清	X-VE	7
打官司	C-VA	4
爭取到	X-VC	1
先生	C-Na	7
現	F-D	1
居	X-VCL	1
棟	X-Nf	4
房子	C-Na	2
至於	F-P	38
經濟	C-Na	4
財產表	C-Na	1
除此之外	F-Dk	8
4萬	X	1
以上	X-Ng	4
撫養	X-VC	6
現階段	X-Nd	1
做法	C-Na	1
受到	X-VJ	6
影響	X-VC	4
辛苦	C-VHC	3
第482	X	1
親眼	F-D	1
身兼	X-VG	1
賺來	X-VC	1
總	F-D	1
父母親	C-Na	2
母子	C-Na	1
連繫	X-Nv	2
回國	C-VA	5
留	X-VC	3
來來回回	C-VA	3
威力	C-Na	1
彩雲史	C-Na	3
參與	X-VC	3
扶養	X-VC	4
薪水	C-Na	4
進來	C-VA	3
隔離	X-VC	1
送去	X-VC	1
約	X-VC	9
共度	X-VJ	1
停留	C-VA	2
裁定	X-VE	1
送來送去	X-VB	3
歲數	C-Na	1
小孩子	C-Na	1
父親	C-Na	4
部分	X-Neqa	30
菲爾強森	C-Nb	1
282號	X	1
彩雲石	C-Na	1
單獨	F-D	3
計劃	C-Na	6
額外	X-A	7
從來	F-D	22
行程	C-Na	1
年邁	C-VH	1
提案	C-Na	1
搬來搬去	C-VA	1
年幼	C-VH	1
怎麼	F-D	69
杰力強森	C-Nb	1
請任	X-VF	1
下列	X-A	1
正在一起	C-VH	1
擔憂	X-VK	1
七	X-Neu	1
使	X-VL	1
負擔	X-VC	3
生活費	C-Na	1
接收到	X-VC	1
喜愛	X-VL	1
傳給	C-VD	45
可能性	C-Na	1
戴瑞強森	C-Nb	1
德興路	C-Nc	1
過生活	C-VA	1
平常	X-Nd	18
一萬五	X-Neu	3
家庭	C-Na	27
聚會	C-Na	1
培養	X-VC	1
感情	C-Na	5
年事	C-Na	1
適應	X-VJ	2
造成	X-VG	29
3段	X	2
雇用	X-VC	10
權判	C-Na	1
前妻	C-Na	1
領	X-VC	4
四萬	X-Neu	1
阿或	C-Nb	1
現任	X-A	1
江	C-Nb	1
